Title,Date,Valence,Chartpos,
Dance The Night (From Barbie The Album),2023-06-01T09:37:15Z,0.775,30
PRC,2023-06-01T09:37:15Z,0.893,31
Cruel Summer,2023-06-01T09:37:15Z,0.564,32
Here With Me,2023-06-01T09:37:15Z,0.299,33
People,2023-06-01T09:37:15Z,0.693,34
Boy's a Liar Pt. 2,2023-06-01T09:37:15Z,0.857,35
Tattoo,2023-06-01T09:37:15Z,0.303,36
Moonlight,2023-06-01T09:37:15Z,0.896,37
I Ain't Worried,2023-06-01T09:37:15Z,0.822,38
Another Love,2023-06-01T09:37:15Z,0.139,39
golden hour,2023-06-01T09:37:15Z,0.153,40
AMG,2023-06-01T09:37:15Z,0.786,41
Like Crazy,2023-06-01T09:37:15Z,0.362,42
Until I Found You (with Em Beihold) - Em Beihold Version,2023-06-01T09:37:15Z,0.342,43
Starboy,2023-06-01T09:37:15Z,0.486,44
Por las Noches,2023-06-01T09:37:15Z,0.392,45
La Bachata,2023-06-01T09:37:15Z,0.85,46
Hey Mor,2023-06-01T09:37:15Z,0.399,47
Unholy (feat. Kim Petras),2023-06-01T09:37:15Z,0.206,48
Bye,2023-06-01T09:37:15Z,0.7,49
Shakira: Bzrp Music Sessions, Vol. 53,2023-06-01T09:37:15Z,0.498,50

Ella Baila Sola,2023-06-04T10:12:58Z,0.834,1
Peso Pluma: Bzrp Music Sessions, Vol. 55,2023-06-04T10:12:58Z,0.805,2
WHERE SHE GOES,2023-06-04T10:12:58Z,0.234,3
La Bebe - Remix,2023-06-04T10:12:58Z,0.559,4
un x100to,2023-06-04T10:12:58Z,0.562,5
Flowers,2023-06-04T10:12:58Z,0.646,6
Cupid - Twin Ver.,2023-06-04T10:12:58Z,0.726,7
TQM,2023-06-04T10:12:58Z,0.963,8
As It Was,2023-06-04T10:12:58Z,0.662,9
Daylight,2023-06-04T10:12:58Z,0.324,10
Kill Bill,2023-06-04T10:12:58Z,0.418,11
Sprinter,2023-06-04T10:12:58Z,0.661,12
Classy 101,2023-06-04T10:12:58Z,0.672,13
TQG,2023-06-04T10:12:58Z,0.607,14
El Azul,2023-06-04T10:12:58Z,0.844,15
Calm Down (with Selena Gomez),2023-06-04T10:12:58Z,0.811,16
Popular (with Playboi Carti & Madonna),2023-06-04T10:12:58Z,0.83,17
BESO,2023-06-04T10:12:58Z,0.53,18
Dance The Night (From Barbie The Album),2023-06-04T10:12:58Z,0.775,19
PRC,2023-06-04T10:12:58Z,0.893,20
Yandel 150,2023-06-04T10:12:58Z,0.58,21
Anti-Hero,2023-06-04T10:12:58Z,0.533,22
Creepin' (with The Weeknd & 21 Savage),2023-06-04T10:12:58Z,0.172,23
See You Again (feat. Kali Uchis),2023-06-04T10:12:58Z,0.62,24
Cruel Summer,2023-06-04T10:12:58Z,0.564,25
All My Life (feat. J. Cole),2023-06-04T10:12:58Z,0.733,26
Last Night,2023-06-04T10:12:58Z,0.478,27
Die For You (with Ariana Grande) - Remix,2023-06-04T10:12:58Z,0.506,28
I'm Good (Blue),2023-06-04T10:12:58Z,0.304,29
Angels Like You,2023-06-04T10:12:58Z,0.494,30
Say Yes To Heaven,2023-06-04T10:12:58Z,0.166,31
Bye,2023-06-04T10:12:58Z,0.7,32
Acróstico,2023-06-04T10:12:58Z,0.353,33
Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long),2023-06-04T10:12:58Z,0.277,34
AMG,2023-06-04T10:12:58Z,0.786,35
Boy's a Liar Pt. 2,2023-06-04T10:12:58Z,0.857,36
I Wanna Be Yours,2023-06-04T10:12:58Z,0.479,37
Los del Espacio,2023-06-04T10:12:58Z,0.634,38
Frágil,2023-06-04T10:12:58Z,0.393,39
Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset),2023-06-04T10:12:58Z,0.204,40
Die For You,2023-06-04T10:12:58Z,0.508,41
I Ain't Worried,2023-06-04T10:12:58Z,0.822,42
Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie),2023-06-04T10:12:58Z,0.22,43
People,2023-06-04T10:12:58Z,0.693,44
Tattoo,2023-06-04T10:12:58Z,0.303,45
Tá OK,2023-06-04T10:12:58Z,0.586,46
La Bachata,2023-06-04T10:12:58Z,0.85,47
Moonlight,2023-06-04T10:12:58Z,0.896,48
Por las Noches,2023-06-04T10:12:58Z,0.392,49
Starboy,2023-06-04T10:12:58Z,0.486,50

Ella Baila Sola,2023-06-06T12:01:21Z,0.834,1
Peso Pluma: Bzrp Music Sessions, Vol. 55,2023-06-06T12:01:21Z,0.805,2
WHERE SHE GOES,2023-06-06T12:01:21Z,0.234,3
Sprinter,2023-06-06T12:01:21Z,0.661,4
un x100to,2023-06-06T12:01:21Z,0.562,5
La Bebe - Remix,2023-06-06T12:01:21Z,0.559,6
Cupid - Twin Ver.,2023-06-06T12:01:21Z,0.726,7
Flowers,2023-06-06T12:01:21Z,0.646,8
Daylight,2023-06-06T12:01:21Z,0.324,9
TQM,2023-06-06T12:01:21Z,0.963,10
As It Was,2023-06-06T12:01:21Z,0.662,11
Kill Bill,2023-06-06T12:01:21Z,0.418,12
Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie),2023-06-06T12:01:21Z,0.22,13
Classy 101,2023-06-06T12:01:21Z,0.672,14
Calm Down (with Selena Gomez),2023-06-06T12:01:21Z,0.811,15
Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset),2023-06-06T12:01:21Z,0.204,16
See You Again (feat. Kali Uchis),2023-06-06T12:01:21Z,0.62,17
Creepin' (with The Weeknd & 21 Savage),2023-06-06T12:01:21Z,0.172,18
TQG,2023-06-06T12:01:21Z,0.607,19
Cruel Summer,2023-06-06T12:01:21Z,0.564,20
Popular (with Playboi Carti & Madonna),2023-06-06T12:01:21Z,0.83,21
Dance The Night (From Barbie The Album),2023-06-06T12:01:21Z,0.775,22
Say Yes To Heaven,2023-06-06T12:01:21Z,0.166,23
Anti-Hero,2023-06-06T12:01:21Z,0.533,24
Angels Like You,2023-06-06T12:01:21Z,0.494,25
El Azul,2023-06-06T12:01:21Z,0.844,26
Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee),2023-06-06T12:01:21Z,0.134,27
All My Life (feat. J. Cole),2023-06-06T12:01:21Z,0.733,28
BESO,2023-06-06T12:01:21Z,0.53,29
Los del Espacio,2023-06-06T12:01:21Z,0.634,30
Die For You (with Ariana Grande) - Remix,2023-06-06T12:01:21Z,0.506,31
I Wanna Be Yours,2023-06-06T12:01:21Z,0.479,32
Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long),2023-06-06T12:01:21Z,0.277,33
PRC,2023-06-06T12:01:21Z,0.893,34
Sunflower - Spider-Man: Into the Spider-Verse,2023-06-06T12:01:21Z,0.925,35
Last Night,2023-06-06T12:01:21Z,0.478,36
Yandel 150,2023-06-06T12:01:21Z,0.58,37
Die For You,2023-06-06T12:01:21Z,0.508,38
I'm Good (Blue),2023-06-06T12:01:21Z,0.304,39
Boy's a Liar Pt. 2,2023-06-06T12:01:21Z,0.857,40
Moonlight,2023-06-06T12:01:21Z,0.896,41
People,2023-06-06T12:01:21Z,0.693,42
Like Crazy,2023-06-06T12:01:21Z,0.362,43
Bye,2023-06-06T12:01:21Z,0.7,44
Tattoo,2023-06-06T12:01:21Z,0.303,45
Acróstico,2023-06-06T12:01:21Z,0.353,46
Starboy,2023-06-06T12:01:21Z,0.486,47
Another Love,2023-06-06T12:01:21Z,0.131,48
I Ain't Worried,2023-06-06T12:01:21Z,0.825,49
Tá OK,2023-06-06T12:01:21Z,0.586,50

Ella Baila Sola,2023-06-09T10:11:49Z,0.834,1
Peso Pluma: Bzrp Music Sessions, Vol. 55,2023-06-09T10:11:49Z,0.805,2
WHERE SHE GOES,2023-06-09T10:11:49Z,0.234,3
un x100to,2023-06-09T10:11:49Z,0.562,4
La Bebe - Remix,2023-06-09T10:11:49Z,0.559,5
Sprinter,2023-06-09T10:11:49Z,0.661,6
Flowers,2023-06-09T10:11:49Z,0.646,7
Cupid - Twin Ver.,2023-06-09T10:11:49Z,0.726,8
Daylight,2023-06-09T10:11:49Z,0.324,9
As It Was,2023-06-09T10:11:49Z,0.662,10
Kill Bill,2023-06-09T10:11:49Z,0.418,11
TQM,2023-06-09T10:11:49Z,0.963,12
Classy 101,2023-06-09T10:11:49Z,0.672,13
